hgnc_symbol	phase
MCM5	M
PCNA	M
TYMS	M
FEN1	M
MCM2	M
MCM4	M
RRM1	M
UNG	M
GINS2	M
MCM6	M
CDCA7	M
DTL	M
PRIM1	M
UHRF1	M
MLF1IP	M
HELLS	M
RFC2	M
RPA2	M
NASP	M
RAD51AP1	M
GMNN	M
WDR76	M
SLBP	M
CCNE2	M
UBR7	M
POLD3	M
MSH2	M
ATAD2	M
RAD51	M
RRM2	M
CDC45	M
CDC6	M
EXO1	M
TIPIN	M
DSCC1	M
BLM	M
CASP8AP2	M
USP1	M
CLSPN	M
POLA1	M
CHAF1B	M
BRIP1	M
E2F8	M
HMGB2	S
CDK1	S
NUSAP1	S
UBE2C	S
BIRC5	S
TPX2	S
TOP2A	S
NDC80	S
CKS2	S
NUF2	S
CKS1B	S
MKI67	S
TMPO	S
CENPF	S
TACC3	S
FAM64A	S
SMC4	S
CCNB2	S
CKAP2L	S
CKAP2	S
AURKB	S
BUB1	S
KIF11	S
ANP32E	S
TUBB4B	S
GTSE1	S
KIF20B	S
HJURP	S
CDCA3	S
HN1	S
CDC20	S
TTK	S
CDC25C	S
KIF2C	S
RANGAP1	S
NCAPD2	S
DLGAP5	S
CDCA2	S
CDCA8	S
ECT2	S
KIF23	S
HMMR	S
AURKA	S
PSRC1	S
ANLN	S
LBR	S
CKAP5	S
CENPE	S
CTCF	S
NEK2	S
G2E3	S
GAS2L3	S
CBX5	S
CENPA	S
